card_1,card_2,usage_count,win_rate_percent
Fireball,Night Witch,1008,50.1
Cannon Cart,Dart Goblin,1008,48.71
Goblin Giant,Tesla,1007,50.94
Rocket,Spear Goblins,1007,49.95
Bomber,Furnace,1007,50.35
Flying Machine,Zap,1006,53.28
Three Musketeers,Valkyrie,1004,53.98
Goblin Gang,Goblinstein,1004,52.79
Clone,Knight,1003,46.06
Bowler,Executioner,1003,53.24
Miner,Rage,1002,51.9
Executioner,Goblins,1001,58.84
Mini P.E.K.K.A,Monk,1000,53.6
Bomber,Electro Dragon,1000,57.5
Giant Skeleton,Wall Breakers,1000,53.0
Goblins,Poison,999,39.24
Archer Queen,P.E.K.K.A,998,55.91
Mother Witch,Prince,995,48.94
Magic Archer,Royal Recruits,995,46.73
Bandit,Little Prince,994,54.33
Goblin Drill,Mega Knight,993,51.86
Freeze,Wall Breakers,992,52.32
Minions,Rocket,992,51.81
Goblin Hut,Lightning,991,34.21
Phoenix,Skeleton Army,990,47.47
Goblin Machine,Spirit Empress,989,26.19
Barbarians,Berserker,989,55.31
Hunter,Wall Breakers,989,53.39
Balloon,Goblins,988,47.06
Night Witch,Skeletons,988,47.37
Executioner,Ice Golem,987,54.51
Fisherman,Royal Recruits,987,42.45
Fisherman,Valkyrie,987,56.43
Elixir Golem,Freeze,987,42.86
Cannon,Goblinstein,985,55.53
Bomb Tower,Royal Hogs,985,50.46
Goblinstein,Tesla,985,49.14
Goblin Gang,X-Bow,983,49.24
Bomb Tower,Princess,983,53.61
Royal Recruits,Sparky,982,35.54
Goblin Drill,Goblin Gang,981,47.71
Bats,X-Bow,979,47.91
Inferno Tower,Royal Recruits,978,50.61
Little Prince,Miner,976,47.75
Mother Witch,Tombstone,975,37.85
Bomber,Spirit Empress,974,26.49
Battle Healer,Prince,974,52.57
Inferno Tower,Royal Delivery,971,53.04
Furnace,Royal Giant,969,47.88
Archer Queen,Archers,968,53.51
Goblin Hut,Tornado,966,33.33
Bomb Tower,Mega Minion,965,54.92
Electro Dragon,Musketeer,964,56.74
Battle Ram,Skeleton King,964,55.29
Barbarians,X-Bow,962,50.62
Royal Hogs,Sparky,962,48.23
Magic Archer,Mirror,961,49.01
Hunter,Skeleton King,959,46.09
Goblin Cage,Lumberjack,959,53.49
Berserker,Graveyard,958,42.38
Goblin Curse,Minions,958,53.65
Electro Dragon,Furnace,957,54.02
Bandit,Furnace,957,54.86
Bomber,Elixir Golem,954,45.81
Clone,Hog Rider,954,46.86
Freeze,Goblin Hut,954,55.14
Goblin Giant,Vines,954,46.96
Goblin Curse,Vines,953,50.16
Archer Queen,Heal Spirit,952,33.09
Battle Ram,Ice Wizard,952,53.15
Battle Ram,Wall Breakers,952,52.73
Suspicious Bush,Wizard,951,51.84
Barbarian Barrel,Little Prince,950,50.84
Barbarian Barrel,Goblins,949,41.41
Rascals,Royal Ghost,949,53.53
Goblin Drill,Ice Spirit,948,45.68
Mega Knight,Rascals,947,55.12
Goblin Giant,Spirit Empress,947,25.87
Archer Queen,Electro Wizard,946,54.33
Ice Golem,Inferno Tower,945,51.32
Fisherman,Tombstone,945,36.3
Giant,Tesla,941,47.72
Ice Golem,Wall Breakers,938,51.81
Graveyard,P.E.K.K.A,937,51.55
Goblin Demolisher,Goblin Gang,935,30.37
Little Prince,Royal Recruits,935,44.6
Hog Rider,Monk,935,54.65
Bowler,Ice Wizard,933,53.27
Dark Prince,Elixir Collector,931,45.22
Giant Skeleton,Goblin Hut,931,47.26
Flying Machine,Lava Hound,930,36.13
Firecracker,Goblin Drill,929,51.78
Lumberjack,Phoenix,928,39.22
Princess,Suspicious Bush,928,52.37
Night Witch,Wizard,928,53.02
Battle Healer,Hog Rider,928,47.84
Bowler,Vines,927,54.91
Little Prince,Minions,927,56.85
Clone,Elite Barbarians,926,53.35
Boss Bandit,Tombstone,925,54.27
Hunter,Lumberjack,925,53.51
Executioner,Giant,921,56.79
Clone,P.E.K.K.A,921,48.1
Electro Giant,Royal Recruits,920,30.98
Boss Bandit,Dark Prince,918,57.63
Barbarian Barrel,Royal Delivery,918,53.38
Giant Snowball,Mighty Miner,917,50.05
Elite Barbarians,Mighty Miner,917,54.09
Bandit,Tombstone,917,58.45
Minions,Royal Delivery,916,49.56
Goblin Giant,Royal Ghost,916,52.62
Barbarians,Zappies,915,45.14
Berserker,Ice Wizard,915,47.98
Mega Minion,Princess,915,57.16
Miner,Royal Hogs,914,47.05
Earthquake,Mini P.E.K.K.A,914,47.16
Battle Healer,Mega Knight,914,50.66
Mega Minion,Tesla,913,53.89
Goblin Giant,Skeletons,913,52.79
Electro Dragon,Royal Hogs,912,51.32
Fisherman,Wizard,912,52.52
Barbarian Hut,Skeleton Army,912,50.99
Lumberjack,Spear Goblins,912,56.14
Electro Spirit,Magic Archer,911,54.12
Fisherman,Zap,910,54.51
Boss Bandit,Fire Spirit,909,50.06
Goblin Cage,Royal Giant,908,48.9
Goblin Drill,Royal Ghost,908,44.49
Fire Spirit,Lumberjack,908,57.71
Magic Archer,Skeleton Barrel,907,52.15
Mortar,Prince,906,52.76
Elixir Golem,Ice Spirit,906,43.16
Baby Dragon,Goblinstein,906,41.5
Magic Archer,Musketeer,906,52.54
Archer Queen,Elixir Collector,904,30.53
Goblin Curse,Ice Spirit,903,51.05
Little Prince,Magic Archer,902,55.43
Giant,Phoenix,901,21.86
Clone,Wall Breakers,899,39.82
Fireball,Goblinstein,899,54.39
Bandit,Spear Goblins,898,56.12
Mother Witch,Wall Breakers,898,46.99
Giant Skeleton,Mother Witch,896,47.32
Guards,Minion Horde,895,53.85
Barbarian Barrel,Mortar,893,53.86
Berserker,Fire Spirit,892,43.83
Fire Spirit,Poison,892,33.3
Goblin Curse,Wall Breakers,892,51.01
Goblin Gang,Graveyard,892,51.12
Mirror,Musketeer,890,52.13
Executioner,Spear Goblins,889,54.78
Cannon,Suspicious Bush,889,55.68
Bats,Suspicious Bush,887,50.39
Golem,Phoenix,886,37.7
Cannon Cart,Ice Wizard,886,45.15
Magic Archer,Tombstone,883,55.95
Bandit,Royal Recruits,883,46.43
Spirit Empress,Zap,882,50.11
Hunter,Rage,881,44.84
Elite Barbarians,Ice Golem,880,53.52
Firecracker,Rascals,879,57.45
Elixir Golem,Furnace,878,45.44
Goblin Hut,Royal Giant,878,51.37
Bomber,Ice Golem,876,51.83
Berserker,Lumberjack,876,44.52
Goblin Curse,Miner,876,45.43
Furnace,Golem,876,52.63
Little Prince,Vines,876,58.68
Little Prince,Rage,875,53.49
Electro Dragon,Zappies,875,33.6
Electro Dragon,Magic Archer,873,52.12
Berserker,Miner,872,43.23
Dark Prince,Little Prince,871,58.09
Goblin Barrel,Three Musketeers,871,50.52
Elite Barbarians,Little Prince,871,53.96
Guards,Mirror,870,49.66
Spirit Empress,Valkyrie,870,49.89
Skeletons,Suspicious Bush,869,48.33
Goblin Drill,Skeleton Army,868,51.61
Berserker,Executioner,868,52.88
Dart Goblin,Fisherman,868,53.46
Little Prince,Ram Rider,867,58.94
Magic Archer,Royal Delivery,867,45.56
Baby Dragon,Suspicious Bush,867,56.29
Clone,Skeleton King,867,48.21
Electro Wizard,Royal Recruits,867,53.4
Barbarian Barrel,Earthquake,866,47.81
Barbarians,Mighty Miner,865,51.68
Barbarians,Night Witch,865,45.55
Goblinstein,Rage,865,39.88
Balloon,Elixir Golem,865,44.62
Electro Spirit,Mirror,863,32.33
Dark Prince,Ice Golem,863,52.03
Fisherman,Little Prince,863,42.18
Monk,Rage,862,45.24
Electro Wizard,X-Bow,862,47.8
Heal Spirit,The Log,859,52.04
Executioner,Fire Spirit,859,56.23
Elixir Golem,Vines,858,48.83
Dart Goblin,Earthquake,858,50.23
Fire Spirit,Mega Minion,857,50.06
Guards,Little Prince,856,55.14
Lightning,Minion Horde,853,52.4
Lumberjack,Royal Delivery,851,52.41
Mini P.E.K.K.A,Spirit Empress,851,51.47
Dart Goblin,Goblin Demolisher,850,33.53
Goblin Machine,The Log,849,51.0
Goblin Drill,Witch,848,51.42
Mother Witch,Vines,847,49.82
Dark Prince,Royal Delivery,847,54.9
Bomb Tower,Skeleton Barrel,846,55.79
Barbarians,Mother Witch,846,52.13
Dart Goblin,Goblin Drill,845,44.85
Fireball,Suspicious Bush,845,48.28
Electro Spirit,Giant Skeleton,845,46.86
Hunter,Skeleton Barrel,844,37.44
Sparky,Tombstone,843,58.24
Mighty Miner,P.E.K.K.A,842,52.38
Magic Archer,Royal Giant,841,55.17
Electro Wizard,Fisherman,840,54.88
Minions,Mother Witch,840,50.95
Mortar,Rocket,839,50.3
Minion Horde,Poison,838,53.22
Fire Spirit,Goblin Drill,838,24.94
Elixir Collector,Mega Knight,838,47.85
Inferno Tower,Little Prince,837,55.44
Goblins,Miner,836,49.16
Heal Spirit,Mini P.E.K.K.A,836,42.34
Barbarian Barrel,Fire Spirit,835,51.26
Goblinstein,Hog Rider,835,52.22
Fisherman,Zappies,835,49.34
Mortar,Tesla,835,50.9
Elixir Collector,The Log,834,51.56
Barbarians,Clone,833,45.86
Electro Giant,Golem,832,27.28
Goblinstein,Skeletons,831,51.26
Boss Bandit,Spear Goblins,830,48.8
Mighty Miner,Royal Delivery,830,51.45
Bandit,Freeze,830,54.22
Battle Ram,Hunter,828,53.38
Cannon,Goblin Giant,828,52.66
Skeleton Barrel,Suspicious Bush,828,49.28
Executioner,Golem,827,54.78
Bandit,Mother Witch,826,50.36
Lightning,Skeleton Dragons,826,38.5
Executioner,Little Prince,824,57.77
Berserker,Goblin Drill,823,29.16
Knight,Rascals,823,53.22
Archer Queen,Lumberjack,822,50.97
Boss Bandit,Mother Witch,822,49.88
Elixir Collector,Witch,822,50.0
Electro Wizard,Zappies,821,39.34
Archers,Electro Giant,820,55.49
Rocket,Royal Hogs,819,49.21
Giant,Vines,819,52.63
Flying Machine,Musketeer,819,33.09
Minions,Mortar,818,52.57
Sparky,Three Musketeers,818,30.44
Cannon Cart,Fireball,816,51.35
Executioner,Goblin Hut,816,55.39
Tornado,X-Bow,812,48.15
Furnace,Miner,811,52.03
Mega Minion,Rocket,810,45.93
Inferno Tower,Mortar,807,35.44
Hog Rider,Three Musketeers,806,55.33
Bomb Tower,Freeze,806,51.86
Goblinstein,Wizard,806,55.96
Earthquake,Mega Knight,805,51.43
Electro Spirit,Poison,805,51.93
Musketeer,Royal Recruits,805,52.42
Graveyard,Sparky,804,43.66
Barbarian Hut,Witch,804,50.12
Princess,Tornado,802,53.87
Minion Horde,Royal Giant,801,44.57
Ram Rider,Skeleton Barrel,800,57.0
Fire Spirit,Royal Giant,800,48.75
Flying Machine,Guards,800,46.75
Goblin Drill,Valkyrie,799,47.31
Princess,X-Bow,798,49.87
Bomber,Fisherman,797,36.01
Giant,Skeleton King,797,41.78
Graveyard,Prince,795,47.8
Minions,Royal Recruits,793,54.22
Royal Recruits,Skeleton King,793,52.46
Rage,Royal Delivery,793,50.32
Fisherman,Hog Rider,792,53.66
Balloon,Royal Giant,792,50.13
Battle Ram,Mirror,791,52.84
Barbarian Barrel,Minion Horde,789,50.57
Rascals,Wall Breakers,788,52.16
Rune Giant,Skeleton Army,787,53.37
Electro Dragon,Royal Giant,786,51.53
Freeze,Royal Giant,785,45.1
Firecracker,Zappies,784,50.89
Ice Wizard,Mighty Miner,783,49.04
Goblin Machine,Mega Knight,783,51.85
Dart Goblin,Skeleton Dragons,782,52.3
Bowler,Elite Barbarians,781,53.14
Night Witch,Tombstone,781,29.19
Flying Machine,The Log,780,55.13
Prince,Tornado,780,46.92
Fire Spirit,Miner,780,47.31
Fisherman,Goblin Barrel,779,50.45
Dart Goblin,Monk,779,52.76
Electro Dragon,Goblin Hut,778,50.77
Bomb Tower,Goblin Cage,778,42.8
Executioner,Mother Witch,778,50.26
Archer Queen,Baby Dragon,777,49.16
Heal Spirit,Skeletons,777,33.98
Mirror,Tornado,777,41.96
Executioner,Poison,776,52.32
Magic Archer,Royal Hogs,776,45.88
Boss Bandit,Suspicious Bush,775,45.94
Cannon Cart,Miner,775,40.13
Inferno Dragon,Suspicious Bush,775,49.68
Electro Giant,Goblin Gang,774,54.78
Fire Spirit,Ice Golem,772,45.47
Berserker,Dark Prince,772,55.05
Goblin Barrel,Monk,770,51.43
Berserker,Skeleton King,770,46.88
Battle Healer,P.E.K.K.A,770,51.3
Bomber,Royal Recruits,769,51.24
Royal Hogs,Wall Breakers,769,48.5
Goblin Drill,Guards,769,32.51
Goblin Barrel,Goblin Demolisher,768,33.59
Elixir Golem,Guards,768,49.09
Mother Witch,Skeletons,767,51.37
Goblin Giant,Inferno Dragon,767,44.98
Ram Rider,Spear Goblins,767,61.28
Freeze,Magic Archer,765,51.37
Ice Wizard,Royal Hogs,765,48.89
Royal Giant,Wall Breakers,764,46.6
Boss Bandit,Elixir Golem,763,45.74
Arrows,Three Musketeers,763,49.54
Elixir Collector,Skeleton Army,763,50.33
Lumberjack,Royal Hogs,762,48.56
Goblins,Mighty Miner,762,49.61
Balloon,Berserker,762,52.1
Guards,X-Bow,760,53.68
Goblin Cage,Skeleton King,760,53.95
Fireball,Rascals,759,57.71
Elite Barbarians,Goblin Curse,759,51.91
Bandit,Giant Skeleton,758,54.49
Electro Giant,Minions,755,57.62
Balloon,Goblin Curse,755,48.34
Heal Spirit,Ice Spirit,755,31.52
Elite Barbarians,Royal Delivery,755,52.32
Goblin Gang,Skeleton Dragons,754,53.32
Bomb Tower,Giant Skeleton,754,43.37
Electro Dragon,Goblin Curse,753,49.0
Goblins,Skeleton Barrel,753,50.46
Graveyard,Musketeer,752,49.6
Boss Bandit,Miner,750,50.4
Furnace,Mirror,750,52.8
Goblin Machine,Mini P.E.K.K.A,749,50.2
Electro Spirit,Golem,748,45.99
Fire Spirit,Rocket,747,47.93
Royal Hogs,Skeleton King,747,51.41
Bomb Tower,Rocket,747,51.27
Little Prince,Poison,746,50.54
Fireball,Three Musketeers,745,48.86
Dark Prince,Rascals,745,55.84
Fire Spirit,Goblin Hut,745,61.07
Bomb Tower,Executioner,743,53.43
Bowler,Prince,742,49.73
Goblin Drill,Princess,742,39.89
Inferno Tower,Tornado,741,46.42
Goblin Curse,Mirror,740,39.86
Electro Giant,Goblin Hut,739,29.5
Knight,Night Witch,739,50.61
Clone,Royal Ghost,739,48.99
Fisherman,Knight,739,53.04
Giant Snowball,Mortar,738,50.41
Battle Ram,Sparky,738,51.36
Giant,Ice Wizard,737,56.58
Giant Skeleton,Miner,736,55.03
Electro Giant,Three Musketeers,736,27.45
Goblin Cage,Wall Breakers,735,55.78
Fisherman,Vines,735,49.39
Goblin Giant,Ice Spirit,735,51.02
Goblins,Vines,735,50.75
Archers,Suspicious Bush,734,53.54
Void,Witch,734,51.09
Firecracker,Skeleton Dragons,734,55.59
Furnace,Royal Recruits,733,49.66
Giant Skeleton,Zappies,732,48.09
Phoenix,The Log,732,54.78
Mighty Miner,Spear Goblins,732,34.56
Royal Hogs,Skeleton Barrel,731,44.87
Earthquake,Skeleton Army,731,48.02
Monk,Tesla,731,50.34
Electro Giant,Ice Spirit,730,50.41
Vines,X-Bow,730,50.14
Electro Dragon,Royal Delivery,729,47.19
Elixir Collector,Night Witch,728,46.57
Goblin Hut,Mighty Miner,727,35.63
Ice Wizard,Little Prince,726,52.34
Ice Wizard,Mirror,726,50.83
Archer Queen,Wizard,725,50.62
Clone,Ice Spirit,725,38.62
Balloon,Royal Delivery,725,52.14
Golem,Ice Wizard,725,51.45
Balloon,Poison,725,50.62
Fire Spirit,Minion Horde,725,53.38
Ice Golem,Ice Wizard,725,49.93
Bowler,Musketeer,724,52.9
Rocket,Sparky,723,50.62
Flying Machine,Knight,722,53.74
Battle Ram,Skeleton Barrel,722,50.55
Hog Rider,Rascals,722,56.51
Rage,Rocket,719,48.82
Arrows,Goblin Demolisher,719,42.0
Goblin Gang,Night Witch,717,58.3
Freeze,Ice Golem,717,48.4
Goblinstein,Ice Wizard,717,36.26
Giant Snowball,Mirror,716,46.09
Clone,Minions,715,53.99
Berserker,Musketeer,715,52.17
Elite Barbarians,Poison,714,52.1
Lightning,Musketeer,714,50.14
Bowler,Wall Breakers,713,50.07
Goblins,Royal Recruits,711,48.8
Cannon Cart,The Log,711,54.57
Fisherman,Ice Spirit,711,53.02
Rascals,Skeleton Barrel,710,51.55
Electro Wizard,Suspicious Bush,708,54.38
Three Musketeers,Zap,707,49.93
Electro Dragon,Electro Giant,707,44.13
Archer Queen,Ram Rider,705,36.17
Furnace,Tombstone,705,50.21
Bowler,Inferno Tower,704,55.11
Goblin Barrel,Spirit Empress,704,51.7
Bandit,Hunter,704,54.12
Furnace,Sparky,703,52.63
Berserker,Rocket,703,42.11
Mirror,Ram Rider,703,51.07
Inferno Dragon,Night Witch,702,54.27
Ice Spirit,Monk,702,53.13
Fire Spirit,Suspicious Bush,701,38.37
Dark Prince,Mirror,700,55.43
Cannon,Mortar,700,38.0
Lightning,Spear Goblins,700,24.29
Electro Dragon,Skeleton Barrel,699,51.36
Graveyard,Inferno Tower,699,50.36
Golden Knight,Rocket,698,53.58
Monk,Wizard,697,50.93
Void,Wizard,697,39.89
Goblin Cage,Sparky,697,42.61
Berserker,Boss Bandit,696,53.3
Bowler,Magic Archer,696,53.59
Phoenix,Rage,696,34.05
Elite Barbarians,Goblin Cage,696,52.44
Goblin Demolisher,Goblin Giant,695,23.17
Goblin Barrel,Night Witch,694,53.17
Battle Healer,Night Witch,694,40.78
Royal Giant,Sparky,694,47.26
Furnace,Royal Hogs,693,53.1
Electro Dragon,Lightning,692,43.06
Archer Queen,Inferno Dragon,691,52.24
Berserker,Electro Dragon,690,51.88
Berserker,Royal Hogs,689,47.9
Goblin Curse,Tombstone,689,49.93
Royal Delivery,Royal Giant,689,50.51
Hog Rider,Suspicious Bush,688,49.85
Giant,Mega Knight,688,50.0
Elixir Golem,Mother Witch,688,45.35
Rascals,Tesla,687,51.67
Elixir Collector,Skeletons,687,36.83
Executioner,Mega Minion,687,60.26
Monk,Valkyrie,687,55.31
Heal Spirit,Mega Knight,686,51.31
Goblin Drill,Mini P.E.K.K.A,685,50.66
Skeletons,Zappies,685,53.14
Dark Prince,Goblins,685,54.31
Electro Dragon,Mirror,684,47.51
Electro Dragon,Miner,684,53.22
Fisherman,Goblin Gang,684,51.46
Goblin Curse,Minion Horde,684,50.58
Minion Horde,Mother Witch,684,48.54
Goblin Curse,Graveyard,683,39.97
Bomber,Mirror,683,50.81
Hunter,Minions,682,53.81
Firecracker,Spirit Empress,682,53.81
Golem,Inferno Tower,682,49.85
Archer Queen,Rage,680,56.03
Electro Giant,Hog Rider,679,51.99
Fire Spirit,Sparky,679,53.76
Battle Ram,Flying Machine,678,56.05
Rage,Royal Recruits,678,51.92
Cannon,Zappies,678,56.64
Barbarian Hut,Wizard,678,53.83
Hunter,Ram Rider,678,54.57
Clone,Freeze,677,42.98
Rocket,Royal Giant,676,44.97
Electro Giant,Princess,676,55.47
Goblin Barrel,Goblin Drill,676,53.7
Battle Healer,The Log,676,47.34
Giant Snowball,Minion Horde,675,51.11
Ram Rider,Tornado,675,42.37
Electro Giant,Executioner,674,49.85
Bandit,Tornado,673,51.86
Freeze,Furnace,673,48.59
Clone,Golden Knight,673,53.34
Skeleton Army,Void,672,51.34
Bomber,Clone,671,52.61
Royal Giant,Royal Hogs,670,46.27
Boss Bandit,Royal Hogs,669,49.93
Minion Horde,Three Musketeers,669,46.34
Archer Queen,Vines,669,51.72
Electro Spirit,Heal Spirit,669,30.34
Bandit,Fire Spirit,668,54.04
Bandit,Goblin Drill,667,42.28
Goblin Demolisher,Knight,665,30.23
Fireball,Spirit Empress,664,52.71
Clone,Goblin Curse,663,43.14
Elite Barbarians,X-Bow,663,39.97
Princess,Skeleton Dragons,662,52.27
Graveyard,Lumberjack,662,40.03
Clone,Guards,661,49.92
Furnace,Giant Skeleton,659,53.57
Dark Prince,Phoenix,659,39.91
Barbarian Barrel,Heal Spirit,659,42.64
Barbarians,Ice Golem,659,52.35
Electro Dragon,Phoenix,659,40.67
Golden Knight,Hunter,659,52.81
Minion Horde,Royal Recruits,658,50.46
Fire Spirit,Giant Skeleton,658,46.96
Graveyard,Miner,657,49.92
Mega Knight,Void,655,50.69
Elixir Golem,Musketeer,655,47.48
Boss Bandit,Rocket,655,50.08
Graveyard,Minion Horde,654,52.14
Flying Machine,Tombstone,654,32.72
Rascals,Rocket,654,49.69
Elite Barbarians,Lightning,654,54.59
Ice Golem,Rage,653,51.45
Boss Bandit,Royal Recruits,653,41.35
Goblin Demolisher,Spear Goblins,653,23.43
Executioner,Royal Recruits,653,53.6
Ice Golem,Tombstone,653,50.54
Rocket,Skeleton King,653,52.99
Electro Spirit,Tornado,652,46.63
Goblin Drill,Magic Archer,652,40.8
Ice Golem,Royal Hogs,652,49.08
Giant,Tornado,651,34.56
Bats,Fisherman,651,52.38
Arrows,Earthquake,651,46.24
Elixir Collector,Mirror,651,34.72
Royal Giant,Royal Recruits,651,42.24
Electro Giant,Royal Ghost,649,53.47
Goblinstein,Prince,647,51.31
Goblinstein,Ice Spirit,646,55.57
Battle Ram,Mortar,646,52.79
Lumberjack,Poison,645,59.53
Bomb Tower,Fire Spirit,644,57.14
Boss Bandit,Poison,644,50.78
Battle Ram,Giant Skeleton,644,48.91
Rocket,Vines,643,47.74
Cannon Cart,Skeleton Army,643,53.81
Electro Dragon,Goblin Cage,643,59.25
Lava Hound,Mega Knight,643,30.33
Mother Witch,Royal Recruits,643,46.66
Executioner,Hunter,643,53.65
Goblin Machine,Valkyrie,643,42.77
Furnace,Mighty Miner,640,53.91
Bomber,Little Prince,639,54.62
Electro Giant,Mirror,639,48.98
Goblinstein,Tornado,638,29.47
Goblin Giant,Hunter,638,27.27
Earthquake,Witch,637,48.19
Electro Giant,Electro Spirit,635,43.15
Musketeer,X-Bow,635,51.81
Golden Knight,Graveyard,634,49.37
Giant Skeleton,Royal Giant,633,35.7
Fire Spirit,Skeleton King,631,53.57
Fire Spirit,Skeleton Dragons,630,61.11
Giant Snowball,Tornado,629,39.27
Goblin Machine,Vines,629,48.17
Golden Knight,Ice Golem,629,53.26
Dart Goblin,Spirit Empress,628,43.79
Rune Giant,Witch,627,55.18
Magic Archer,Mighty Miner,627,51.36
Electro Giant,Guards,626,49.68
Miner,Mirror,625,48.32
Goblin Curse,Magic Archer,625,50.56
Bomber,X-Bow,624,37.98
Giant Snowball,Goblinstein,623,31.46
Fisherman,Minions,622,50.8
Barbarian Barrel,Goblinstein,622,32.8
Lightning,Royal Recruits,621,41.87
Bomb Tower,Elite Barbarians,621,55.56
Berserker,Spear Goblins,619,42.65
Giant Skeleton,Hunter,618,55.02
Mirror,Royal Recruits,618,51.62
Electro Dragon,Graveyard,618,51.29
Bowler,Rage,617,50.41
Goblin Hut,Royal Delivery,616,40.91
Poison,Rage,616,37.99
Lightning,Princess,616,58.12
Goblin Machine,Skeleton Army,615,52.2
Archer Queen,Guards,615,50.89
Goblin Cage,Rocket,615,43.9
Golem,Rage,615,51.22
Electro Spirit,Mortar,615,52.52
Guards,Zappies,615,48.13
Giant Skeleton,Rocket,615,51.06
Furnace,Goblin Cage,614,53.09
Furnace,Musketeer,613,58.08
Berserker,Golden Knight,613,53.02
Battle Ram,Ice Golem,612,50.49
Electro Giant,Rage,612,52.29
Archer Queen,Princess,612,51.47
Executioner,Goblin Cage,611,57.12
Electro Giant,Prince,611,48.45
Mini P.E.K.K.A,Phoenix,610,49.84
Goblin Giant,Mega Knight,610,43.11
Battle Healer,Vines,610,47.21
Freeze,Skeleton Dragons,609,48.77
Golem,Spear Goblins,609,44.83
Barbarian Barrel,Mirror,609,46.8
Balloon,Mighty Miner,609,54.52
Furnace,Royal Delivery,608,48.36
Inferno Tower,Mighty Miner,608,51.81
Little Prince,Sparky,608,56.25
Electro Giant,Inferno Tower,608,53.29
Boss Bandit,Bowler,608,51.32
Fisherman,Giant Skeleton,607,45.47
Earthquake,Musketeer,606,41.75
Bats,Goblinstein,606,52.31
Spirit Empress,Wizard,606,51.65
Giant Skeleton,Tornado,606,53.63
Rascals,Vines,605,50.74
Skeleton King,Spirit Empress,605,50.41
Mother Witch,Ram Rider,604,50.5
Battle Ram,Goblin Curse,604,52.98
Fisherman,Royal Hogs,604,44.87
Fisherman,Inferno Dragon,603,52.57
Phoenix,Witch,603,52.57
Electro Wizard,Mortar,603,57.88
Lightning,Royal Hogs,603,49.42
Suspicious Bush,Vines,603,49.09
Giant Skeleton,Ram Rider,603,55.89
Royal Recruits,Spear Goblins,602,51.83
Giant,Royal Hogs,602,34.39
Berserker,Elite Barbarians,602,53.16
Battle Healer,Knight,602,51.83
Battle Healer,Giant Snowball,602,38.54
Elite Barbarians,Phoenix,601,39.6
Knight,Spirit Empress,601,50.25
Fire Spirit,Golden Knight,601,49.42
Ice Golem,Poison,601,52.41
Elixir Collector,Wizard,601,53.74
Golden Knight,Heal Spirit,601,43.43
Bomb Tower,Cannon,601,29.62
Poison,Zappies,600,47.67
Goblins,Skeleton King,600,37.83
Hunter,Zappies,600,36.17
Freeze,Goblins,599,36.39
Bowler,Ram Rider,598,56.86
Mini P.E.K.K.A,Rune Giant,598,53.18
Fire Spirit,Mirror,596,31.04
Goblin Curse,Sparky,596,53.69
Mega Minion,Vines,596,53.52
Electro Dragon,Spear Goblins,596,56.71
Giant Skeleton,Lightning,595,40.17
Balloon,Mother Witch,595,51.93
Flying Machine,Inferno Tower,595,57.98
Night Witch,Princess,595,55.29
Freeze,Little Prince,595,52.94
Inferno Tower,X-Bow,594,36.53
Fire Spirit,Freeze,594,48.82
Lightning,Vines,594,47.47
Little Prince,Musketeer,592,60.14
Dark Prince,Graveyard,592,52.03
Goblinstein,Princess,591,56.68
Rascals,Wizard,590,57.63
Barbarian Barrel,Monk,590,38.81
Goblinstein,Inferno Dragon,590,54.92
Cannon,Tesla,588,42.01
Minions,Tornado,588,54.76
Dark Prince,Mortar,588,52.72
Bats,Goblin Drill,588,49.49
Fisherman,Goblin Giant,588,29.76
Bandit,Bowler,587,59.63
Night Witch,Tesla,587,53.49
Ice Golem,Magic Archer,587,50.09
Mighty Miner,Musketeer,586,49.15
Mortar,Princess,586,53.75
Magic Archer,Mother Witch,586,50.0
Minion Horde,Tombstone,586,55.97
Hunter,Royal Hogs,585,51.62
Goblinstein,Poison,585,31.45
Lightning,Three Musketeers,584,33.39
Flying Machine,Inferno Dragon,584,47.95
Goblin Giant,Minion Horde,583,33.79
Bomb Tower,Royal Giant,583,51.11
Electro Dragon,Mighty Miner,583,54.2
Ice Golem,X-Bow,583,49.4
Graveyard,Wall Breakers,583,45.28
Goblin Drill,Goblin Hut,583,27.79
Hunter,Miner,582,53.09
Electro Dragon,Giant,582,58.42
Rocket,Royal Recruits,581,44.06
Goblin Cage,Lava Hound,581,35.63
Spear Goblins,Suspicious Bush,581,48.02
Tornado,Vines,581,48.36
Ice Golem,Skeleton Barrel,580,51.55
Bats,Battle Healer,580,49.48
Bandit,Rocket,579,49.4
Giant Snowball,Skeleton Dragons,579,52.85
Skeleton Dragons,Vines,578,48.27
Ice Golem,Ram Rider,578,50.69
Ice Golem,Rocket,578,46.71
Clone,Magic Archer,577,48.35
Rage,Zappies,576,34.38
Furnace,Hunter,574,51.22
Earthquake,Goblin Gang,574,51.05
Bowler,Golden Knight,574,52.09
Elite Barbarians,Goblin Drill,574,38.85
Elixir Golem,Royal Hogs,573,33.86
Flying Machine,Mega Knight,573,52.71
Goblin Demolisher,Goblin Drill,573,21.64
Baby Dragon,Fisherman,573,53.05
Goblins,Royal Hogs,573,50.44
Berserker,Suspicious Bush,573,36.65
Bowler,Royal Giant,572,47.38
Elixir Golem,Poison,572,49.3
Heal Spirit,Wizard,570,38.6
Goblin Demolisher,Skeletons,570,24.39
