card_1,card_2,usage_count,win_rate_percent,total_elixir_cost
Barbarians,Mighty Miner,865,51.68,9.0
Barbarians,Night Witch,865,45.55,9.0
Goblinstein,Rage,865,39.88,7.0
Balloon,Elixir Golem,865,44.62,8.0
Electro Spirit,Mirror,863,32.33,2.0
Dark Prince,Ice Golem,863,52.03,6.0
Fisherman,Little Prince,863,42.18,6.0
Monk,Rage,862,45.24,7.0
Electro Wizard,X-Bow,862,47.8,10.0
Heal Spirit,The Log,859,52.04,3.0
Executioner,Fire Spirit,859,56.23,6.0
Elixir Golem,Vines,858,48.83,6.0
Dart Goblin,Earthquake,858,50.23,6.0
Fire Spirit,Mega Minion,857,50.06,4.0
Guards,Little Prince,856,55.14,6.0
Lightning,Minion Horde,853,52.4,11.0
Lumberjack,Royal Delivery,851,52.41,7.0
Mini P.E.K.K.A,Spirit Empress,851,51.47,10.0
Dart Goblin,Goblin Demolisher,850,33.53,7.0
Goblin Machine,The Log,849,51.0,7.0
Goblin Drill,Witch,848,51.42,9.0
Mother Witch,Vines,847,49.82,7.0
Dark Prince,Royal Delivery,847,54.9,7.0
Bomb Tower,Skeleton Barrel,846,55.79,7.0
Barbarians,Mother Witch,846,52.13,9.0
Dart Goblin,Goblin Drill,845,44.85,7.0
Fireball,Suspicious Bush,845,48.28,6.0
Electro Spirit,Giant Skeleton,845,46.86,7.0
Hunter,Skeleton Barrel,844,37.44,7.0
Sparky,Tombstone,843,58.24,9.0
Mighty Miner,P.E.K.K.A,842,52.38,11.0
Magic Archer,Royal Giant,841,55.17,10.0
Electro Wizard,Fisherman,840,54.88,7.0
Minions,Mother Witch,840,50.95,7.0
Mortar,Rocket,839,50.3,10.0
Minion Horde,Poison,838,53.22,9.0
Fire Spirit,Goblin Drill,838,24.94,5.0
Elixir Collector,Mega Knight,838,47.85,13.0
Inferno Tower,Little Prince,837,55.44,8.0
Goblins,Miner,836,49.16,5.0
Heal Spirit,Mini P.E.K.K.A,836,42.34,5.0
Barbarian Barrel,Fire Spirit,835,51.26,3.0
Goblinstein,Hog Rider,835,52.22,9.0
Fisherman,Zappies,835,49.34,7.0
Mortar,Tesla,835,50.9,8.0
Elixir Collector,The Log,834,51.56,8.0
Barbarians,Clone,833,45.86,8.0
Electro Giant,Golem,832,27.28,15.0
Goblinstein,Skeletons,831,51.26,6.0
Boss Bandit,Spear Goblins,830,48.8,8.0
Mighty Miner,Royal Delivery,830,51.45,7.0
Bandit,Freeze,830,54.22,7.0
Battle Ram,Hunter,828,53.38,8.0
Cannon,Goblin Giant,828,52.66,9.0
Skeleton Barrel,Suspicious Bush,828,49.28,5.0
Executioner,Golem,827,54.78,13.0
Bandit,Mother Witch,826,50.36,7.0
Lightning,Skeleton Dragons,826,38.5,10.0
Executioner,Little Prince,824,57.77,8.0
Berserker,Goblin Drill,823,29.16,6.0
Knight,Rascals,823,53.22,8.0
Archer Queen,Lumberjack,822,50.97,9.0
Boss Bandit,Mother Witch,822,49.88,10.0
Elixir Collector,Witch,822,50.0,11.0
Electro Wizard,Zappies,821,39.34,8.0
Archers,Electro Giant,820,55.49,10.0
Rocket,Royal Hogs,819,49.21,11.0
Giant,Vines,819,52.63,8.0
Flying Machine,Musketeer,819,33.09,8.0
Minions,Mortar,818,52.57,7.0
Sparky,Three Musketeers,818,30.44,15.0
Cannon Cart,Fireball,816,51.35,9.0
Executioner,Goblin Hut,816,55.39,9.0
Tornado,X-Bow,812,48.15,9.0
Furnace,Miner,811,52.03,7.0
Mega Minion,Rocket,810,45.93,9.0
Inferno Tower,Mortar,807,35.44,9.0
Hog Rider,Three Musketeers,806,55.33,13.0
Bomb Tower,Freeze,806,51.86,8.0
Goblinstein,Wizard,806,55.96,10.0
Earthquake,Mega Knight,805,51.43,10.0
Electro Spirit,Poison,805,51.93,5.0
Musketeer,Royal Recruits,805,52.42,11.0
Graveyard,Sparky,804,43.66,11.0
Barbarian Hut,Witch,804,50.12,11.0
Princess,Tornado,802,53.87,6.0
Minion Horde,Royal Giant,801,44.57,11.0
Ram Rider,Skeleton Barrel,800,57.0,8.0
Fire Spirit,Royal Giant,800,48.75,7.0
Flying Machine,Guards,800,46.75,7.0
Goblin Drill,Valkyrie,799,47.31,8.0
Princess,X-Bow,798,49.87,9.0
Bomber,Fisherman,797,36.01,5.0
Giant,Skeleton King,797,41.78,9.0
Graveyard,Prince,795,47.8,10.0
Minions,Royal Recruits,793,54.22,10.0
Royal Recruits,Skeleton King,793,52.46,11.0
Rage,Royal Delivery,793,50.32,5.0
Fisherman,Hog Rider,792,53.66,7.0
Balloon,Royal Giant,792,50.13,11.0
Battle Ram,Mirror,791,52.84,5.0
Barbarian Barrel,Minion Horde,789,50.57,7.0
Rascals,Wall Breakers,788,52.16,7.0
Rune Giant,Skeleton Army,787,53.37,7.0
Electro Dragon,Royal Giant,786,51.53,11.0
Freeze,Royal Giant,785,45.1,10.0
Firecracker,Zappies,784,50.89,7.0
Ice Wizard,Mighty Miner,783,49.04,7.0
Goblin Machine,Mega Knight,783,51.85,12.0
Dart Goblin,Skeleton Dragons,782,52.3,7.0
Bowler,Elite Barbarians,781,53.14,11.0
Night Witch,Tombstone,781,29.19,7.0
Flying Machine,The Log,780,55.13,6.0
Prince,Tornado,780,46.92,8.0
Fire Spirit,Miner,780,47.31,4.0
Fisherman,Goblin Barrel,779,50.45,6.0
Dart Goblin,Monk,779,52.76,8.0
Electro Dragon,Goblin Hut,778,50.77,9.0
Bomb Tower,Goblin Cage,778,42.8,8.0
Executioner,Mother Witch,778,50.26,9.0
Archer Queen,Baby Dragon,777,49.16,9.0
Heal Spirit,Skeletons,777,33.98,2.0
Mirror,Tornado,777,41.96,4.0
Executioner,Poison,776,52.32,9.0
Magic Archer,Royal Hogs,776,45.88,9.0
Boss Bandit,Suspicious Bush,775,45.94,8.0
Cannon Cart,Miner,775,40.13,8.0
Inferno Dragon,Suspicious Bush,775,49.68,6.0
Electro Giant,Goblin Gang,774,54.78,10.0
Fire Spirit,Ice Golem,772,45.47,3.0
Berserker,Dark Prince,772,55.05,6.0
Goblin Barrel,Monk,770,51.43,8.0
Berserker,Skeleton King,770,46.88,6.0
Battle Healer,P.E.K.K.A,770,51.3,11.0
Bomber,Royal Recruits,769,51.24,9.0
Royal Hogs,Wall Breakers,769,48.5,7.0
Goblin Drill,Guards,769,32.51,7.0
Goblin Barrel,Goblin Demolisher,768,33.59,7.0
Elixir Golem,Guards,768,49.09,6.0
Mother Witch,Skeletons,767,51.37,5.0
Goblin Giant,Inferno Dragon,767,44.98,10.0
Ram Rider,Spear Goblins,767,61.28,7.0
Freeze,Magic Archer,765,51.37,8.0
Ice Wizard,Royal Hogs,765,48.89,8.0
Royal Giant,Wall Breakers,764,46.6,8.0
Boss Bandit,Elixir Golem,763,45.74,9.0
Arrows,Three Musketeers,763,49.54,12.0
Elixir Collector,Skeleton Army,763,50.33,9.0
Lumberjack,Royal Hogs,762,48.56,9.0
Goblins,Mighty Miner,762,49.61,6.0
Balloon,Berserker,762,52.1,7.0
Guards,X-Bow,760,53.68,9.0
Goblin Cage,Skeleton King,760,53.95,8.0
Fireball,Rascals,759,57.71,9.0
Elite Barbarians,Goblin Curse,759,51.91,8.0
Bandit,Giant Skeleton,758,54.49,9.0
Electro Giant,Minions,755,57.62,10.0
Balloon,Goblin Curse,755,48.34,7.0
Heal Spirit,Ice Spirit,755,31.52,2.0
Elite Barbarians,Royal Delivery,755,52.32,9.0
Goblin Gang,Skeleton Dragons,754,53.32,7.0
Bomb Tower,Giant Skeleton,754,43.37,10.0
Electro Dragon,Goblin Curse,753,49.0,7.0
Goblins,Skeleton Barrel,753,50.46,5.0
Graveyard,Musketeer,752,49.6,9.0
Boss Bandit,Miner,750,50.4,9.0
Furnace,Mirror,750,52.8,5.0
Goblin Machine,Mini P.E.K.K.A,749,50.2,9.0
Electro Spirit,Golem,748,45.99,9.0
Fire Spirit,Rocket,747,47.93,7.0
Royal Hogs,Skeleton King,747,51.41,9.0
Bomb Tower,Rocket,747,51.27,10.0
Little Prince,Poison,746,50.54,7.0
Fireball,Three Musketeers,745,48.86,13.0
Dark Prince,Rascals,745,55.84,9.0
Fire Spirit,Goblin Hut,745,61.07,5.0
Bomb Tower,Executioner,743,53.43,9.0
Bowler,Prince,742,49.73,10.0
Goblin Drill,Princess,742,39.89,7.0
Inferno Tower,Tornado,741,46.42,8.0
Goblin Curse,Mirror,740,39.86,3.0
Electro Giant,Goblin Hut,739,29.5,11.0
Knight,Night Witch,739,50.61,7.0
Clone,Royal Ghost,739,48.99,6.0
Fisherman,Knight,739,53.04,6.0
Giant Snowball,Mortar,738,50.41,6.0
Battle Ram,Sparky,738,51.36,10.0
Giant,Ice Wizard,737,56.58,8.0
Giant Skeleton,Miner,736,55.03,9.0
Electro Giant,Three Musketeers,736,27.45,16.0
Goblin Cage,Wall Breakers,735,55.78,6.0
Fisherman,Vines,735,49.39,6.0
Goblin Giant,Ice Spirit,735,51.02,7.0
Goblins,Vines,735,50.75,5.0
Archers,Suspicious Bush,734,53.54,5.0
Void,Witch,734,51.09,8.0
Firecracker,Skeleton Dragons,734,55.59,7.0
Furnace,Royal Recruits,733,49.66,11.0
Giant Skeleton,Zappies,732,48.09,10.0
Phoenix,The Log,732,54.78,6.0
Mighty Miner,Spear Goblins,732,34.56,6.0
Royal Hogs,Skeleton Barrel,731,44.87,8.0
Earthquake,Skeleton Army,731,48.02,6.0
Monk,Tesla,731,50.34,9.0
Electro Giant,Ice Spirit,730,50.41,8.0
Vines,X-Bow,730,50.14,9.0
Electro Dragon,Royal Delivery,729,47.19,8.0
Elixir Collector,Night Witch,728,46.57,10.0
Goblin Hut,Mighty Miner,727,35.63,8.0
Ice Wizard,Little Prince,726,52.34,6.0
Ice Wizard,Mirror,726,50.83,4.0
Archer Queen,Wizard,725,50.62,10.0
Clone,Ice Spirit,725,38.62,4.0
Balloon,Royal Delivery,725,52.14,8.0
Golem,Ice Wizard,725,51.45,11.0
Balloon,Poison,725,50.62,9.0
Fire Spirit,Minion Horde,725,53.38,6.0
Ice Golem,Ice Wizard,725,49.93,5.0
Bowler,Musketeer,724,52.9,9.0
Rocket,Sparky,723,50.62,12.0
Flying Machine,Knight,722,53.74,7.0
Battle Ram,Skeleton Barrel,722,50.55,7.0
Hog Rider,Rascals,722,56.51,9.0
Rage,Rocket,719,48.82,8.0
Arrows,Goblin Demolisher,719,42.0,7.0
Goblin Gang,Night Witch,717,58.3,7.0
Freeze,Ice Golem,717,48.4,6.0
Goblinstein,Ice Wizard,717,36.26,8.0
Giant Snowball,Mirror,716,46.09,3.0
Clone,Minions,715,53.99,6.0
Berserker,Musketeer,715,52.17,6.0
Elite Barbarians,Poison,714,52.1,10.0
Lightning,Musketeer,714,50.14,10.0
Bowler,Wall Breakers,713,50.07,7.0
Goblins,Royal Recruits,711,48.8,9.0
Cannon Cart,The Log,711,54.57,7.0
Fisherman,Ice Spirit,711,53.02,4.0
Rascals,Skeleton Barrel,710,51.55,8.0
Electro Wizard,Suspicious Bush,708,54.38,6.0
Three Musketeers,Zap,707,49.93,11.0
Electro Dragon,Electro Giant,707,44.13,12.0
Archer Queen,Ram Rider,705,36.17,10.0
Furnace,Tombstone,705,50.21,7.0
Bowler,Inferno Tower,704,55.11,10.0
Goblin Barrel,Spirit Empress,704,51.7,9.0
Bandit,Hunter,704,54.12,7.0
Furnace,Sparky,703,52.63,10.0
Berserker,Rocket,703,42.11,8.0
Mirror,Ram Rider,703,51.07,6.0
Inferno Dragon,Night Witch,702,54.27,8.0
Ice Spirit,Monk,702,53.13,6.0
Fire Spirit,Suspicious Bush,701,38.37,3.0
Dark Prince,Mirror,700,55.43,5.0
Cannon,Mortar,700,38.0,7.0
Lightning,Spear Goblins,700,24.29,8.0
Electro Dragon,Skeleton Barrel,699,51.36,8.0
Graveyard,Inferno Tower,699,50.36,10.0
Golden Knight,Rocket,698,53.58,10.0
Monk,Wizard,697,50.93,10.0
Void,Wizard,697,39.89,8.0
Goblin Cage,Sparky,697,42.61,10.0
Berserker,Boss Bandit,696,53.3,8.0
Bowler,Magic Archer,696,53.59,9.0
Phoenix,Rage,696,34.05,6.0
Elite Barbarians,Goblin Cage,696,52.44,10.0
Goblin Demolisher,Goblin Giant,695,23.17,10.0
Goblin Barrel,Night Witch,694,53.17,7.0
Battle Healer,Night Witch,694,40.78,8.0
Royal Giant,Sparky,694,47.26,12.0
Furnace,Royal Hogs,693,53.1,9.0
Electro Dragon,Lightning,692,43.06,11.0
Archer Queen,Inferno Dragon,691,52.24,9.0
Berserker,Electro Dragon,690,51.88,7.0
Berserker,Royal Hogs,689,47.9,7.0
Goblin Curse,Tombstone,689,49.93,5.0
Royal Delivery,Royal Giant,689,50.51,9.0
Hog Rider,Suspicious Bush,688,49.85,6.0
Giant,Mega Knight,688,50.0,12.0
Elixir Golem,Mother Witch,688,45.35,7.0
Rascals,Tesla,687,51.67,9.0
Elixir Collector,Skeletons,687,36.83,7.0
Executioner,Mega Minion,687,60.26,8.0
Monk,Valkyrie,687,55.31,9.0
Heal Spirit,Mega Knight,686,51.31,8.0
Goblin Drill,Mini P.E.K.K.A,685,50.66,8.0
Skeletons,Zappies,685,53.14,5.0
Dark Prince,Goblins,685,54.31,6.0
Electro Dragon,Mirror,684,47.51,6.0
Electro Dragon,Miner,684,53.22,8.0
Fisherman,Goblin Gang,684,51.46,6.0
Goblin Curse,Minion Horde,684,50.58,7.0
Minion Horde,Mother Witch,684,48.54,9.0
Goblin Curse,Graveyard,683,39.97,7.0
Bomber,Mirror,683,50.81,3.0
Hunter,Minions,682,53.81,7.0
Firecracker,Spirit Empress,682,53.81,9.0
Golem,Inferno Tower,682,49.85,13.0
Archer Queen,Rage,680,56.03,7.0
Electro Giant,Hog Rider,679,51.99,11.0
Fire Spirit,Sparky,679,53.76,7.0
Battle Ram,Flying Machine,678,56.05,8.0
Rage,Royal Recruits,678,51.92,9.0
Cannon,Zappies,678,56.64,7.0
Barbarian Hut,Wizard,678,53.83,11.0
Hunter,Ram Rider,678,54.57,9.0
Clone,Freeze,677,42.98,7.0
Rocket,Royal Giant,676,44.97,12.0
Electro Giant,Princess,676,55.47,10.0
Goblin Barrel,Goblin Drill,676,53.7,7.0
Battle Healer,The Log,676,47.34,6.0
Giant Snowball,Minion Horde,675,51.11,7.0
Ram Rider,Tornado,675,42.37,8.0
Electro Giant,Executioner,674,49.85,12.0
Bandit,Tornado,673,51.86,6.0
Freeze,Furnace,673,48.59,8.0
Clone,Golden Knight,673,53.34,7.0
Skeleton Army,Void,672,51.34,6.0
Bomber,Clone,671,52.61,5.0
Royal Giant,Royal Hogs,670,46.27,11.0
Boss Bandit,Royal Hogs,669,49.93,11.0
Minion Horde,Three Musketeers,669,46.34,14.0
Archer Queen,Vines,669,51.72,8.0
Electro Spirit,Heal Spirit,669,30.34,2.0
Bandit,Fire Spirit,668,54.04,4.0
Bandit,Goblin Drill,667,42.28,7.0
Goblin Demolisher,Knight,665,30.23,7.0
Fireball,Spirit Empress,664,52.71,10.0
Clone,Goblin Curse,663,43.14,5.0
Elite Barbarians,X-Bow,663,39.97,12.0
Princess,Skeleton Dragons,662,52.27,7.0
Graveyard,Lumberjack,662,40.03,9.0
Clone,Guards,661,49.92,6.0
Furnace,Giant Skeleton,659,53.57,10.0
Dark Prince,Phoenix,659,39.91,8.0
Barbarian Barrel,Heal Spirit,659,42.64,3.0
Barbarians,Ice Golem,659,52.35,7.0
Electro Dragon,Phoenix,659,40.67,9.0
Golden Knight,Hunter,659,52.81,8.0
Minion Horde,Royal Recruits,658,50.46,12.0
Fire Spirit,Giant Skeleton,658,46.96,7.0
Graveyard,Miner,657,49.92,8.0
Mega Knight,Void,655,50.69,10.0
Elixir Golem,Musketeer,655,47.48,7.0
Boss Bandit,Rocket,655,50.08,12.0
Graveyard,Minion Horde,654,52.14,10.0
Flying Machine,Tombstone,654,32.72,7.0
Rascals,Rocket,654,49.69,11.0
Elite Barbarians,Lightning,654,54.59,12.0
Ice Golem,Rage,653,51.45,4.0
Boss Bandit,Royal Recruits,653,41.35,13.0
Goblin Demolisher,Spear Goblins,653,23.43,6.0
Executioner,Royal Recruits,653,53.6,12.0
Ice Golem,Tombstone,653,50.54,5.0
Rocket,Skeleton King,653,52.99,10.0
Electro Spirit,Tornado,652,46.63,4.0
Goblin Drill,Magic Archer,652,40.8,8.0
Ice Golem,Royal Hogs,652,49.08,7.0
Giant,Tornado,651,34.56,8.0
Bats,Fisherman,651,52.38,5.0
Arrows,Earthquake,651,46.24,6.0
Elixir Collector,Mirror,651,34.72,7.0
Royal Giant,Royal Recruits,651,42.24,13.0
Electro Giant,Royal Ghost,649,53.47,10.0
Goblinstein,Prince,647,51.31,10.0
Goblinstein,Ice Spirit,646,55.57,6.0
Battle Ram,Mortar,646,52.79,8.0
Lumberjack,Poison,645,59.53,8.0
Bomb Tower,Fire Spirit,644,57.14,5.0
Boss Bandit,Poison,644,50.78,10.0
Battle Ram,Giant Skeleton,644,48.91,10.0
Rocket,Vines,643,47.74,9.0
Cannon Cart,Skeleton Army,643,53.81,8.0
Electro Dragon,Goblin Cage,643,59.25,9.0
Lava Hound,Mega Knight,643,30.33,14.0
Mother Witch,Royal Recruits,643,46.66,11.0
Executioner,Hunter,643,53.65,9.0
Goblin Machine,Valkyrie,643,42.77,9.0
Furnace,Mighty Miner,640,53.91,8.0
Bomber,Little Prince,639,54.62,5.0
Electro Giant,Mirror,639,48.98,8.0
Goblinstein,Tornado,638,29.47,8.0
Goblin Giant,Hunter,638,27.27,10.0
Earthquake,Witch,637,48.19,8.0
Electro Giant,Electro Spirit,635,43.15,8.0
Musketeer,X-Bow,635,51.81,10.0
Golden Knight,Graveyard,634,49.37,9.0
Giant Skeleton,Royal Giant,633,35.7,12.0
Fire Spirit,Skeleton King,631,53.57,5.0
Fire Spirit,Skeleton Dragons,630,61.11,5.0
Giant Snowball,Tornado,629,39.27,5.0
Goblin Machine,Vines,629,48.17,8.0
Golden Knight,Ice Golem,629,53.26,6.0
Dart Goblin,Spirit Empress,628,43.79,9.0
Rune Giant,Witch,627,55.18,9.0
Magic Archer,Mighty Miner,627,51.36,8.0
Electro Giant,Guards,626,49.68,10.0
Miner,Mirror,625,48.32,4.0
Goblin Curse,Magic Archer,625,50.56,6.0
Bomber,X-Bow,624,37.98,8.0
Giant Snowball,Goblinstein,623,31.46,7.0
Fisherman,Minions,622,50.8,6.0
Barbarian Barrel,Goblinstein,622,32.8,7.0
Lightning,Royal Recruits,621,41.87,13.0
Bomb Tower,Elite Barbarians,621,55.56,10.0
Berserker,Spear Goblins,619,42.65,4.0
Giant Skeleton,Hunter,618,55.02,10.0
Mirror,Royal Recruits,618,51.62,8.0
Electro Dragon,Graveyard,618,51.29,10.0
Bowler,Rage,617,50.41,7.0
Goblin Hut,Royal Delivery,616,40.91,7.0
Poison,Rage,616,37.99,6.0
Lightning,Princess,616,58.12,9.0
Goblin Machine,Skeleton Army,615,52.2,8.0
Archer Queen,Guards,615,50.89,8.0
Goblin Cage,Rocket,615,43.9,10.0
Golem,Rage,615,51.22,10.0
Electro Spirit,Mortar,615,52.52,5.0
Guards,Zappies,615,48.13,7.0
Giant Skeleton,Rocket,615,51.06,12.0
Furnace,Goblin Cage,614,53.09,8.0
Furnace,Musketeer,613,58.08,8.0
Berserker,Golden Knight,613,53.02,6.0
Battle Ram,Ice Golem,612,50.49,6.0
Electro Giant,Rage,612,52.29,9.0
Archer Queen,Princess,612,51.47,8.0
Executioner,Goblin Cage,611,57.12,9.0
Electro Giant,Prince,611,48.45,12.0
Mini P.E.K.K.A,Phoenix,610,49.84,8.0
Goblin Giant,Mega Knight,610,43.11,13.0
Battle Healer,Vines,610,47.21,7.0
Freeze,Skeleton Dragons,609,48.77,8.0
Golem,Spear Goblins,609,44.83,10.0
Barbarian Barrel,Mirror,609,46.8,3.0
Balloon,Mighty Miner,609,54.52,9.0
Furnace,Royal Delivery,608,48.36,7.0
Inferno Tower,Mighty Miner,608,51.81,9.0
Little Prince,Sparky,608,56.25,9.0
Electro Giant,Inferno Tower,608,53.29,12.0
Boss Bandit,Bowler,608,51.32,11.0
Fisherman,Giant Skeleton,607,45.47,9.0
Earthquake,Musketeer,606,41.75,7.0
Bats,Goblinstein,606,52.31,7.0
Spirit Empress,Wizard,606,51.65,11.0
Giant Skeleton,Tornado,606,53.63,9.0
Rascals,Vines,605,50.74,8.0
Skeleton King,Spirit Empress,605,50.41,10.0
Mother Witch,Ram Rider,604,50.5,9.0
Battle Ram,Goblin Curse,604,52.98,6.0
Fisherman,Royal Hogs,604,44.87,8.0
Fisherman,Inferno Dragon,603,52.57,7.0
Phoenix,Witch,603,52.57,9.0
Electro Wizard,Mortar,603,57.88,8.0
Lightning,Royal Hogs,603,49.42,11.0
Suspicious Bush,Vines,603,49.09,5.0
Giant Skeleton,Ram Rider,603,55.89,11.0
Royal Recruits,Spear Goblins,602,51.83,9.0
Giant,Royal Hogs,602,34.39,10.0
Berserker,Elite Barbarians,602,53.16,8.0
Battle Healer,Knight,602,51.83,7.0
Battle Healer,Giant Snowball,602,38.54,6.0
Elite Barbarians,Phoenix,601,39.6,10.0
Knight,Spirit Empress,601,50.25,9.0
Fire Spirit,Golden Knight,601,49.42,5.0
Ice Golem,Poison,601,52.41,6.0
Elixir Collector,Wizard,601,53.74,11.0
Golden Knight,Heal Spirit,601,43.43,5.0
Bomb Tower,Cannon,601,29.62,7.0
Poison,Zappies,600,47.67,8.0
Goblins,Skeleton King,600,37.83,6.0
Hunter,Zappies,600,36.17,8.0
Freeze,Goblins,599,36.39,6.0
Bowler,Ram Rider,598,56.86,10.0
Mini P.E.K.K.A,Rune Giant,598,53.18,8.0
Fire Spirit,Mirror,596,31.04,2.0
Goblin Curse,Sparky,596,53.69,8.0
Mega Minion,Vines,596,53.52,6.0
Electro Dragon,Spear Goblins,596,56.71,7.0
Giant Skeleton,Lightning,595,40.17,12.0
Balloon,Mother Witch,595,51.93,9.0
Flying Machine,Inferno Tower,595,57.98,9.0
Night Witch,Princess,595,55.29,7.0
Freeze,Little Prince,595,52.94,7.0
Inferno Tower,X-Bow,594,36.53,11.0
Fire Spirit,Freeze,594,48.82,5.0
Lightning,Vines,594,47.47,9.0
Little Prince,Musketeer,592,60.14,7.0
Dark Prince,Graveyard,592,52.03,9.0
Goblinstein,Princess,591,56.68,8.0
Rascals,Wizard,590,57.63,10.0
Barbarian Barrel,Monk,590,38.81,7.0
Goblinstein,Inferno Dragon,590,54.92,9.0
Cannon,Tesla,588,42.01,7.0
Minions,Tornado,588,54.76,6.0
Dark Prince,Mortar,588,52.72,8.0
Bats,Goblin Drill,588,49.49,6.0
Fisherman,Goblin Giant,588,29.76,9.0
Bandit,Bowler,587,59.63,8.0
Night Witch,Tesla,587,53.49,8.0
Ice Golem,Magic Archer,587,50.09,6.0
Mighty Miner,Musketeer,586,49.15,8.0
Mortar,Princess,586,53.75,7.0
Magic Archer,Mother Witch,586,50.0,8.0
Minion Horde,Tombstone,586,55.97,8.0
Hunter,Royal Hogs,585,51.62,9.0
Goblinstein,Poison,585,31.45,9.0
Lightning,Three Musketeers,584,33.39,15.0
Flying Machine,Inferno Dragon,584,47.95,8.0
Goblin Giant,Minion Horde,583,33.79,11.0
Bomb Tower,Royal Giant,583,51.11,10.0
Electro Dragon,Mighty Miner,583,54.2,9.0
Ice Golem,X-Bow,583,49.4,8.0
Graveyard,Wall Breakers,583,45.28,7.0
Goblin Drill,Goblin Hut,583,27.79,8.0
Hunter,Miner,582,53.09,7.0
Electro Dragon,Giant,582,58.42,10.0
Rocket,Royal Recruits,581,44.06,13.0
Goblin Cage,Lava Hound,581,35.63,11.0
Spear Goblins,Suspicious Bush,581,48.02,4.0
Tornado,Vines,581,48.36,6.0
Ice Golem,Skeleton Barrel,580,51.55,5.0
Bats,Battle Healer,580,49.48,6.0
Bandit,Rocket,579,49.4,9.0
Giant Snowball,Skeleton Dragons,579,52.85,6.0
Skeleton Dragons,Vines,578,48.27,7.0
Ice Golem,Ram Rider,578,50.69,7.0
Ice Golem,Rocket,578,46.71,8.0
Clone,Magic Archer,577,48.35,7.0
Rage,Zappies,576,34.38,6.0
Furnace,Hunter,574,51.22,8.0
Earthquake,Goblin Gang,574,51.05,6.0
Bowler,Golden Knight,574,52.09,9.0
Elite Barbarians,Goblin Drill,574,38.85,10.0
Elixir Golem,Royal Hogs,573,33.86,8.0
Flying Machine,Mega Knight,573,52.71,11.0
Goblin Demolisher,Goblin Drill,573,21.64,8.0
Baby Dragon,Fisherman,573,53.05,7.0
Goblins,Royal Hogs,573,50.44,7.0
Berserker,Suspicious Bush,573,36.65,4.0
Bowler,Royal Giant,572,47.38,11.0
Elixir Golem,Poison,572,49.3,7.0
Heal Spirit,Wizard,570,38.6,6.0
Goblin Demolisher,Skeletons,570,24.39,5.0
Elixir Collector,Knight,568,48.24,9.0
Bats,Zappies,568,51.58,6.0
Goblin Drill,Royal Recruits,567,38.1,11.0
Barbarian Hut,Mini P.E.K.K.A,567,53.26,10.0
Lava Hound,Lumberjack,567,40.21,11.0
Graveyard,Hunter,567,38.45,9.0
Rocket,Skeleton Barrel,566,47.0,9.0
Mortar,Poison,565,52.57,8.0
Archers,Flying Machine,565,52.74,7.0
Electro Wizard,Goblinstein,565,55.22,9.0
Goblin Curse,Mother Witch,565,46.73,6.0
Elixir Golem,Tombstone,565,47.61,6.0
Bandit,Elixir Golem,564,43.62,6.0
Little Prince,Spear Goblins,564,54.79,5.0
Archers,Goblin Giant,563,52.75,9.0
Electro Wizard,Spirit Empress,563,51.87,10.0
Bowler,P.E.K.K.A,563,51.51,12.0
Vines,Zappies,562,49.64,7.0
Goblin Cage,Miner,562,45.73,7.0
Ice Spirit,Mother Witch,562,52.49,5.0
Elixir Collector,Mega Minion,561,46.35,9.0
Cannon Cart,Spear Goblins,561,43.85,7.0
Goblin Curse,Ram Rider,561,50.09,7.0
Bandit,Goblin Curse,560,55.18,5.0
Barbarians,Goblin Giant,560,50.71,11.0
Mighty Miner,Rocket,559,49.02,10.0
Baby Dragon,Rascals,559,58.68,9.0
Clone,Lava Hound,559,34.17,10.0
Battle Ram,Royal Giant,559,52.06,10.0
Fire Spirit,Skeleton Barrel,558,55.2,4.0
Clone,Vines,558,41.04,6.0
Fire Spirit,Royal Hogs,557,50.09,6.0
Hunter,Ice Wizard,557,54.58,7.0
Bats,Lava Hound,557,38.06,9.0
Executioner,Night Witch,557,52.42,9.0
Freeze,Mighty Miner,557,52.06,8.0
Spirit Empress,Tesla,557,50.09,10.0
Hunter,Inferno Tower,556,56.47,9.0
Musketeer,Tornado,556,52.88,7.0
Goblin Cage,Ram Rider,554,55.23,9.0
Bandit,Royal Delivery,554,50.9,6.0
Bowler,Electro Giant,554,40.43,12.0
Barbarian Barrel,Goblin Curse,553,50.27,4.0
Goblin Cage,Goblinstein,553,30.56,9.0
Cannon,Clone,551,43.01,6.0
Electro Giant,Minion Horde,550,52.0,12.0
Ram Rider,Royal Giant,550,40.91,11.0
Princess,Zappies,549,54.28,7.0
Rune Giant,Wizard,549,51.91,9.0
Earthquake,Guards,548,46.72,6.0
Bomb Tower,Ice Wizard,548,50.73,7.0
Battle Ram,Three Musketeers,548,43.98,13.0
Mega Knight,Phoenix,548,56.93,11.0
Goblins,Lumberjack,547,55.03,6.0
Giant Skeleton,Graveyard,547,49.18,11.0
Tombstone,Zappies,546,43.41,7.0
Goblinstein,Royal Ghost,546,50.73,8.0
Monk,Royal Ghost,544,51.84,8.0
Inferno Dragon,Three Musketeers,543,52.3,13.0
Skeletons,Spirit Empress,543,49.17,7.0
Lumberjack,Rocket,543,48.8,10.0
